LON	LAT	NUMBER	STREET	UNIT	CITY	DISTRICT	REGION	POSTCODE	ID	HASH
-66.7635958	45.9640804	18	Orchard Dr		Fredericton			E3C1K8		146c0743833b96a2
-66.6796205	45.9642449	775	Woodstock Rd		Fredericton			E3B5N9		aa59a4319afb50d2
-66.7216805	45.964172	148	Talisman Cres		Fredericton			E3C1M1		7166f9792dbb7f1b
-66.6169323	45.9643338	807	MacLaren Ave		Fredericton			E3A3L8		9a52e22bd7239c06
-66.6258346	45.9643261	130	Gill St		Fredericton			E3A3A6		e65a60368744c6cb
-66.6975006	45.9642251	141	Kingswood Dr		Fredericton			E3B6Z7		02c8afe1f6561b10
-66.7303322	45.9641634	36	Senator Dr		Fredericton			E3C1L8		4896c06f5cadd5f8
-66.720778	45.9641855	21	Selkirk Cres		Fredericton			E3C1M1		c78c2b36a1327eea
-66.769628	45.9640824	17	Fairview Dr		Fredericton			E3C1K9		4cd88bbc01f88242
-66.6184412	45.9643403	263	Sewell St		Fredericton			E3A3G5		2781cb40adfe6ff6
-66.7203576	45.9641899	30	Selkirk Cres		Fredericton			E3C1M1		6592ca5b707aa0f1
-66.6529589	45.9643023	50	Brunswick St		Fredericton			E3B1G4		29fba8d48c0eca04
-66.6506811	45.9643089	111	King St		Fredericton			E3B1C8		8b9539c04cd91f68
-66.7640113	45.9641028	17	Orchard Dr		Fredericton			E3C1K8		debfa495af9a0e9f
-66.6264314	45.9643416	731	Union St		Fredericton			E3A3P1		a8185f2d00b9e49a
-66.6967956	45.9642452	115	Brentwood Dr		Fredericton			E3B7A5		42226e8b877e401f
-66.7274923	45.9641936	34	Baybarry St		Fredericton			E3C1L8		9a6023bba5162502
-66.6268069	45.9643511	728	Union St		Fredericton			E3A3N7		fbd00a03633161dc
-66.6959125	45.9642535	155	Coburn Crt		Fredericton			E3B7A6		9e38668b12279886
-66.7284402	45.9641935	52	Sherry's Ln		Fredericton			E3C1L8		8ba4e6e6a9828a5d
-66.6137772	45.9643667	356	Gibson St		Fredericton			E3A4E6		56421940453c8b86
-66.6532344	45.9643284	40	Brunswick St		Fredericton			E3B1G4		4cfb5128ba002d21
-66.6457694	45.964341	281	Queen St		Fredericton			E3B1A9		d4bfd4695f05a4d7
-66.6508509	45.9643397	105	King St		Fredericton			E3B1C8		37a2921e81ab48d1
-66.6666595	45.964319	313	Woodstock Rd		Fredericton			E3B2H9		beec1d6b14278885
-66.7293566	45.9642106	44	Jessie Dr		Fredericton			E3C1L8		e1125063a87084c4
-66.6609672	45.9643286	174	Woodstock Rd		Fredericton			E3B2H5		3f4527f9cd503c79
-66.614903	45.9643844	329	Gibson St		Fredericton			E3A4E7		c027628ba56a252c
-66.7230689	45.9642242	122	Monteith Dr		Fredericton			E3C1L6		770cf8cb69a27a8a
-66.687645	45.9642899	155	Riverview Dr		Fredericton			E3B6Z1		ed7ff7ae7c3aebef
-66.618213	45.9643833	267	Sewell St		Fredericton			E3A3G5		e4533231b56f21e6
-66.6509309	45.9643459	103	King St		Fredericton			E3B1C8		5e974e50f5f060d1
-66.7316472	45.9642172	39	Barrington Rd		Fredericton			E3C0A5		81a3accab0d9548d
-66.701183	45.9642767	33	Kingswood Dr		Fredericton			E3B6Z8		e728814894731377
-66.6257212	45.9643874	134	Gill St		Fredericton			E3A3A6		ebbf69a2ab004a05
-66.6534848	45.9643551	32	Brunswick St		Fredericton			E3B1G4		3f3248b60554aa81
-66.7297254	45.9642292	43	Jessie Dr		Fredericton			E3C1L8		93ef8297f651842b
-66.6608673	45.9643485	176	Woodstock Rd		Fredericton			E3B2H5		e00a0dbf9ce9f7f1
-66.6585314	45.9643531	36	Rookwood Ave		Fredericton			E3B1M9		b92e6aa9890c31a5
-66.6136618	45.9644068	358	Gibson St		Fredericton			E3A4E6		5fbe2f95563d6950
-66.6458418	45.964371	275	Queen St		Fredericton			E3B1A9		90b94f3fff22faed
-66.6798479	45.9643228	779	Woodstock Rd		Fredericton			E3B5N9		a95158b135ee934e
-66.6169654	45.9644062	805	MacLaren Ave		Fredericton			E3A3L8		35a3f96eb46683bb
-66.7019662	45.9642879	859	Golf Club Rd		Fredericton			E3B7S9		c6941ccdb42afadd
-66.7692716	45.9641521	2	Fairview Dr		Fredericton			E3C1K9		cea824977782e703
-66.7670771	45.9641582	42	Hummingbird St		Fredericton			E3C1K7		7c2c6f24eea5a2ed
-66.7003664	45.9642966	54	Kingswood Dr		Fredericton			E3B6Z8		8585776c41a9b859
-66.6234596	45.9644069	758	Devon Ave		Fredericton			E3A3G8		17003e9683a2a02e
-66.7287629	45.9642462	51	Sherry's Ln		Fredericton			E3C1L8		cdbec2ef365dfee5
-66.6955688	45.9643085	165	Coburn Crt		Fredericton			E3B7A6		3e8f653daca6a2fe
-66.6273955	45.9644149	6	Townview Ln		Fredericton			E3A3X2		d78c882b3b0bc9c3
-66.6919099	45.9643274	46	Angelview Crt		Fredericton			E3B7A8		bca18d0b2381790e
-66.694467	45.9643239	215	Coburn Crt		Fredericton			E3B7A6		e1b3a07e01907632
-66.6147192	45.9644354	333	Gibson St		Fredericton			E3A4E7		76c7b08b93d80b93
-66.6179931	45.9644325	273	Sewell St		Fredericton			E3A3G5		03cd535595157d2f
-66.6459205	45.964401	273	Queen St		Fredericton			E3B1A9		8363fe00932395ac
-66.6135129	45.9644416	360	Gibson St		Fredericton			E3A4E6		c0488e0d6d08679e
-66.6953031	45.9643315	175	Coburn Crt		Fredericton			E3B7A6		16b09eba233dc37e
-66.730675	45.9642672	39	Senator Dr		Fredericton			E3C1L8		84dacc120c21f378
-66.7407298	45.9642485	900	Springhill Rd		Fredericton			E3C1L8		3b12258b7f9af977
-66.6800809	45.9643616	785	Woodstock Rd		Fredericton			E3B5N9		415877a903574ec1
-66.7312701	45.9642699	36	Barrington Rd		Fredericton			E3C1L8		59b22f8150916ab7
-66.7707968	45.9641827	6	Mooers Dr		Fredericton			E3C1K9		5ee1a64f4a2e914f
-66.7702311	45.964184	9	Mooers Dr		Fredericton			E3C1K9		8c26329a9e40231d
-66.7687822	45.9641933	1	Westwood Dr		Fredericton			E3C1K9		cf3109c0574c2daf
-66.7655161	45.964201	14	Hummingbird St		Fredericton			E3C1K8		544ae7993116c2d8
-66.6588896	45.9644021	33	Rookwood Ave		Fredericton			E3B2L8		9372e3662087dc12
-66.6871847	45.9643627	160	Riverview Dr		Fredericton			E3B5Z1		c7daf9a431b35fbd
